index,event_type,timestamp,user_role,user,source_IP,region,response_code,resource_type,action,hour,unusual_hour,geo_anomaly,failed_action,failed_actions_count,action_count
63,EC2 Log,2024-09-03 19:40:03,IAMUser,dev-user,ip-172-31-0-234,us-east-1,,EC2,SecurityPatch,19,1,0,0,0,
64,EC2 Log,2024-09-01 04:47:38,IAMUser,dev-user,ip-172-31-0-64,us-east-1,,EC2,Unknown,4,1,0,0,0,
65,EC2 Log,2024-09-12 05:17:09,IAMUser,admin,ip-172-31-0-50,us-east-1,,EC2,Unknown,5,1,0,0,0,
66,EC2 Log,2024-09-04 13:54:44,IAMUser,admin,ip-172-31-0-196,us-east-1,,EC2,Unknown,13,0,0,0,0,
67,EC2 Log,2024-08-31 23:12:23,IAMUser,dev-user,ip-172-31-0-167,us-east-1,,EC2,TerminateInstance,23,1,0,0,0,
68,EC2 Log,2024-09-01 04:22:49,IAMUser,test-user,ip-172-31-0-172,us-east-1,,EC2,CPU Warning,4,1,0,0,0,
69,EC2 Log,2024-08-31 06:01:35,IAMUser,test-user,ip-172-31-0-60,us-east-1,,EC2,Unknown,6,1,0,0,0,
70,EC2 Log,2024-09-12 02:28:40,IAMUser,dev-user,ip-172-31-0-213,us-east-1,,EC2,Unknown,2,1,0,0,0,
71,EC2 Log,2024-09-07 22:35:58,IAMUser,dev-user,ip-172-31-0-152,us-east-1,,EC2,Unknown,22,1,0,0,0,
72,EC2 Log,2024-09-12 02:51:26,IAMUser,dev-user,ip-172-31-0-132,us-east-1,,EC2,Unknown,2,1,0,0,0,
73,EC2 Log,2024-09-09 14:16:49,IAMUser,dev-user,ip-172-31-0-29,us-east-1,,EC2,CPU Warning,14,0,0,0,0,
74,EC2 Log,2024-09-09 11:24:17,IAMUser,dev-user,ip-172-31-0-215,us-east-1,,EC2,Unknown,11,0,0,0,0,
75,EC2 Log,2024-09-06 13:19:06,IAMUser,admin,ip-172-31-0-246,us-east-1,,EC2,Unknown,13,0,0,0,0,
76,EC2 Log,2024-09-03 07:32:53,IAMUser,admin,ip-172-31-0-80,us-east-1,,EC2,CPU Warning,7,1,0,0,0,
77,EC2 Log,2024-09-11 11:49:03,IAMUser,dev-user,ip-172-31-0-170,us-east-1,,EC2,Unknown,11,0,0,0,0,
78,EC2 Log,2024-09-04 14:57:01,IAMUser,admin,ip-172-31-0-13,us-east-1,,EC2,Unknown,14,0,0,0,0,
79,EC2 Log,2024-09-07 07:13:15,IAMUser,test-user,ip-172-31-0-226,us-east-1,,EC2,SecurityPatch,7,1,0,0,0,
80,EC2 Log,2024-08-29 20:56:44,IAMUser,test-user,ip-172-31-0-116,us-east-1,,EC2,Unknown,20,1,0,0,0,
81,EC2 Log,2024-08-30 10:51:13,IAMUser,test-user,ip-172-31-0-99,us-east-1,,EC2,Unknown,10,0,0,0,0,
82,EC2 Log,2024-09-05 19:27:25,IAMUser,test-user,ip-172-31-0-96,us-east-1,,EC2,Unknown,19,1,0,0,0,
83,EC2 Log,2024-09-07 04:10:03,IAMUser,dev-user,ip-172-31-0-37,us-east-1,,EC2,Unknown,4,1,0,0,0,
84,EC2 Log,2024-09-11 12:28:44,IAMUser,admin,ip-172-31-0-230,us-east-1,,EC2,Unknown,12,0,0,0,0,
85,EC2 Log,2024-09-09 19:07:50,IAMUser,admin,ip-172-31-0-242,us-east-1,,EC2,Unknown,19,1,0,0,0,
86,EC2 Log,2024-08-31 10:48:37,IAMUser,admin,ip-172-31-0-136,us-east-1,,EC2,Unknown,10,0,0,0,0,
87,EC2 Log,2024-09-08 22:39:52,IAMUser,dev-user,ip-172-31-0-190,us-east-1,,EC2,TerminateInstance,22,1,0,0,0,
88,EC2 Log,2024-09-02 16:47:33,IAMUser,test-user,ip-172-31-0-7,us-east-1,,EC2,Unknown,16,0,0,0,0,
89,EC2 Log,2024-09-05 20:21:20,IAMUser,dev-user,ip-172-31-0-33,us-east-1,,EC2,Unknown,20,1,0,0,0,
90,EC2 Log,2024-09-03 00:23:03,IAMUser,admin,ip-172-31-0-25,us-east-1,,EC2,Unknown,0,1,0,0,0,
91,EC2 Log,2024-09-09 08:35:28,IAMUser,admin,ip-172-31-0-171,us-east-1,,EC2,SecurityPatch,8,1,0,0,0,
92,EC2 Log,2024-08-30 17:33:22,IAMUser,test-user,ip-172-31-0-230,us-east-1,,EC2,Unknown,17,0,0,0,0,
93,EC2 Log,2024-09-11 19:08:33,IAMUser,admin,ip-172-31-0-154,us-east-1,,EC2,Unknown,19,1,0,0,0,
94,EC2 Log,2024-09-04 19:58:18,IAMUser,test-user,ip-172-31-0-3,us-east-1,,EC2,Unknown,19,1,0,0,0,
95,EC2 Log,2024-09-09 21:21:12,IAMUser,test-user,ip-172-31-0-206,us-east-1,,EC2,TerminateInstance,21,1,0,0,0,
96,EC2 Log,2024-09-06 21:55:24,IAMUser,dev-user,ip-172-31-0-36,us-east-1,,EC2,Unknown,21,1,0,0,0,
97,EC2 Log,2024-09-12 02:09:24,IAMUser,admin,ip-172-31-0-163,us-east-1,,EC2,Unknown,2,1,0,0,0,
98,EC2 Log,2024-09-03 14:19:57,IAMUser,admin,ip-172-31-0-111,us-east-1,,EC2,SecurityPatch,14,0,0,0,0,
99,EC2 Log,2024-09-01 19:57:22,IAMUser,admin,ip-172-31-0-111,us-east-1,,EC2,CPU Warning,19,1,0,0,0,
100,EC2 Log,2024-09-02 07:35:53,IAMUser,test-user,ip-172-31-0-244,us-east-1,,EC2,Unknown,7,1,0,0,0,
101,EC2 Log,2024-09-03 12:00:25,IAMUser,test-user,ip-172-31-0-114,us-east-1,,EC2,Unknown,12,0,0,0,0,
102,EC2 Log,2024-08-31 08:49:31,IAMUser,dev-user,ip-172-31-0-68,us-east-1,,EC2,Unknown,8,1,0,0,0,
103,EC2 Log,2024-09-03 17:13:53,IAMUser,dev-user,ip-172-31-0-118,us-east-1,,EC2,Unknown,17,0,0,0,0,
104,EC2 Log,2024-08-29 18:15:37,IAMUser,test-user,ip-172-31-0-245,us-east-1,,EC2,Unknown,18,1,0,0,0,
105,EC2 Log,2024-09-07 21:33:39,IAMUser,dev-user,ip-172-31-0-249,us-east-1,,EC2,TerminateInstance,21,1,0,0,0,
106,EC2 Log,2024-09-08 13:31:23,IAMUser,test-user,ip-172-31-0-227,us-east-1,,EC2,Unknown,13,0,0,0,0,
107,EC2 Log,2024-09-06 03:10:02,IAMUser,test-user,ip-172-31-0-150,us-east-1,,EC2,Unknown,3,1,0,0,0,
108,EC2 Log,2024-09-08 12:53:26,IAMUser,test-user,ip-172-31-0-20,us-east-1,,EC2,Unknown,12,0,0,0,0,
109,EC2 Log,2024-09-11 13:12:01,IAMUser,test-user,ip-172-31-0-29,us-east-1,,EC2,Unknown,13,0,0,0,0,
110,EC2 Log,2024-09-06 19:02:18,IAMUser,test-user,ip-172-31-0-216,us-east-1,,EC2,CPU Warning,19,1,0,0,0,
111,EC2 Log,2024-08-31 09:01:55,IAMUser,admin,ip-172-31-0-233,us-east-1,,EC2,Unknown,9,0,0,0,0,
112,EC2 Log,2024-09-03 23:40:30,IAMUser,test-user,ip-172-31-0-36,us-east-1,,EC2,TerminateInstance,23,1,0,0,0,
113,EC2 Log,2024-09-09 01:09:28,IAMUser,dev-user,ip-172-31-0-77,us-east-1,,EC2,Unknown,1,1,0,0,0,
114,EC2 Log,2024-09-08 02:56:32,IAMUser,test-user,ip-172-31-0-157,us-east-1,,EC2,Unknown,2,1,0,0,0,
115,EC2 Log,2024-09-03 05:40:22,IAMUser,test-user,ip-172-31-0-5,us-east-1,,EC2,Unknown,5,1,0,0,0,
116,EC2 Log,2024-09-09 14:03:48,IAMUser,admin,ip-172-31-0-71,us-east-1,,EC2,Unknown,14,0,0,0,0,
117,EC2 Log,2024-09-02 16:10:50,IAMUser,dev-user,ip-172-31-0-224,us-east-1,,EC2,Unknown,16,0,0,0,0,
118,EC2 Log,2024-09-02 02:07:46,IAMUser,dev-user,ip-172-31-0-42,us-east-1,,EC2,TerminateInstance,2,1,0,0,0,
119,EC2 Log,2024-09-11 17:20:46,IAMUser,dev-user,ip-172-31-0-183,us-east-1,,EC2,Unknown,17,0,0,0,0,
120,EC2 Log,2024-09-06 16:40:11,IAMUser,test-user,ip-172-31-0-230,us-east-1,,EC2,Unknown,16,0,0,0,0,
121,EC2 Log,2024-09-07 11:51:25,IAMUser,test-user,ip-172-31-0-24,us-east-1,,EC2,Unknown,11,0,0,0,0,
122,EC2 Log,2024-09-04 08:36:49,IAMUser,test-user,ip-172-31-0-74,us-east-1,,EC2,Unknown,8,1,0,0,0,
123,EC2 Log,2024-09-06 14:50:22,IAMUser,admin,ip-172-31-0-170,us-east-1,,EC2,Unknown,14,0,0,0,0,
124,EC2 Log,2024-08-30 03:56:01,IAMUser,test-user,ip-172-31-0-179,us-east-1,,EC2,Unknown,3,1,0,0,0,
125,EC2 Log,2024-09-02 18:38:18,IAMUser,admin,ip-172-31-0-5,us-east-1,,EC2,Unknown,18,1,0,0,0,
126,EC2 Log,2024-09-11 00:00:20,IAMUser,test-user,ip-172-31-0-62,us-east-1,,EC2,Unknown,0,1,0,0,0,
127,EC2 Log,2024-09-07 18:52:44,IAMUser,test-user,ip-172-31-0-120,us-east-1,,EC2,Unknown,18,1,0,0,0,
128,EC2 Log,2024-09-10 07:17:19,IAMUser,dev-user,ip-172-31-0-72,us-east-1,,EC2,Unknown,7,1,0,0,0,
129,EC2 Log,2024-09-09 10:42:45,IAMUser,test-user,ip-172-31-0-175,us-east-1,,EC2,Unknown,10,0,0,0,0,
130,EC2 Log,2024-09-10 17:17:17,IAMUser,admin,ip-172-31-0-152,us-east-1,,EC2,Unknown,17,0,0,0,0,
131,EC2 Log,2024-09-08 17:16:32,IAMUser,dev-user,ip-172-31-0-96,us-east-1,,EC2,TerminateInstance,17,0,0,0,0,
132,EC2 Log,2024-08-29 22:04:53,IAMUser,admin,ip-172-31-0-203,us-east-1,,EC2,Unknown,22,1,0,0,0,
133,EC2 Log,2024-09-02 09:32:32,IAMUser,admin,ip-172-31-0-221,us-east-1,,EC2,Unknown,9,0,0,0,0,
134,EC2 Log,2024-09-02 22:02:11,IAMUser,admin,ip-172-31-0-108,us-east-1,,EC2,Unknown,22,1,0,0,0,
135,EC2 Log,2024-09-02 00:42:49,IAMUser,test-user,ip-172-31-0-2,us-east-1,,EC2,Unknown,0,1,0,0,0,
136,EC2 Log,2024-09-06 16:19:17,IAMUser,admin,ip-172-31-0-62,us-east-1,,EC2,Unknown,16,0,0,0,0,
137,EC2 Log,2024-09-09 07:09:29,IAMUser,test-user,ip-172-31-0-233,us-east-1,,EC2,TerminateInstance,7,1,0,0,0,
138,EC2 Log,2024-09-05 06:36:03,IAMUser,test-user,ip-172-31-0-231,us-east-1,,EC2,Unknown,6,1,0,0,0,
139,EC2 Log,2024-08-31 16:47:42,IAMUser,dev-user,ip-172-31-0-55,us-east-1,,EC2,Unknown,16,0,0,0,0,
140,EC2 Log,2024-09-05 22:11:34,IAMUser,test-user,ip-172-31-0-2,us-east-1,,EC2,TerminateInstance,22,1,0,0,0,
141,EC2 Log,2024-09-03 11:22:05,IAMUser,admin,ip-172-31-0-231,us-east-1,,EC2,Unknown,11,0,0,0,0,
142,EC2 Log,2024-09-08 02:43:34,IAMUser,admin,ip-172-31-0-219,us-east-1,,EC2,TerminateInstance,2,1,0,0,0,
143,EC2 Log,2024-09-05 22:34:29,IAMUser,dev-user,ip-172-31-0-240,us-east-1,,EC2,SecurityPatch,22,1,0,0,0,
144,EC2 Log,2024-09-06 16:48:11,IAMUser,dev-user,ip-172-31-0-241,us-east-1,,EC2,Unknown,16,0,0,0,0,
145,EC2 Log,2024-09-02 17:30:17,IAMUser,test-user,ip-172-31-0-188,us-east-1,,EC2,Unknown,17,0,0,0,0,
146,EC2 Log,2024-09-07 09:20:32,IAMUser,dev-user,ip-172-31-0-181,us-east-1,,EC2,Unknown,9,0,0,0,0,
147,EC2 Log,2024-08-29 23:20:14,IAMUser,test-user,ip-172-31-0-152,us-east-1,,EC2,Unknown,23,1,0,0,0,
148,EC2 Log,2024-09-06 12:29:40,IAMUser,dev-user,ip-172-31-0-216,us-east-1,,EC2,TerminateInstance,12,0,0,0,0,
149,EC2 Log,2024-09-10 14:18:41,IAMUser,test-user,ip-172-31-0-81,us-east-1,,EC2,Unknown,14,0,0,0,0,
150,EC2 Log,2024-09-04 17:59:41,IAMUser,dev-user,ip-172-31-0-252,us-east-1,,EC2,Unknown,17,0,0,0,0,
151,EC2 Log,2024-09-07 18:31:35,IAMUser,test-user,ip-172-31-0-146,us-east-1,,EC2,TerminateInstance,18,1,0,0,0,
152,EC2 Log,2024-08-29 23:48:03,IAMUser,test-user,ip-172-31-0-39,us-east-1,,EC2,Unknown,23,1,0,0,0,
153,EC2 Log,2024-09-02 21:45:00,IAMUser,dev-user,ip-172-31-0-125,us-east-1,,EC2,Unknown,21,1,0,0,0,
154,EC2 Log,2024-08-30 20:13:35,IAMUser,admin,ip-172-31-0-140,us-east-1,,EC2,Unknown,20,1,0,0,0,
155,EC2 Log,2024-09-05 02:43:43,IAMUser,dev-user,ip-172-31-0-189,us-east-1,,EC2,Unknown,2,1,0,0,0,
156,EC2 Log,2024-09-10 01:16:08,IAMUser,admin,ip-172-31-0-109,us-east-1,,EC2,Unknown,1,1,0,0,0,
157,EC2 Log,2024-09-11 19:27:41,IAMUser,dev-user,ip-172-31-0-67,us-east-1,,EC2,Unknown,19,1,0,0,0,
158,EC2 Log,2024-09-02 21:00:36,IAMUser,dev-user,ip-172-31-0-18,us-east-1,,EC2,Unknown,21,1,0,0,0,
159,EC2 Log,2024-08-30 07:14:04,IAMUser,test-user,ip-172-31-0-105,us-east-1,,EC2,SecurityPatch,7,1,0,0,0,
160,EC2 Log,2024-08-29 15:12:41,IAMUser,admin,ip-172-31-0-195,us-east-1,,EC2,Unknown,15,0,0,0,0,
161,EC2 Log,2024-08-30 22:00:00,IAMUser,admin,ip-172-31-0-177,us-east-1,,EC2,Unknown,22,1,0,0,0,16.0
162,EC2 Log,2024-09-08 08:33:35,IAMUser,test-user,ip-172-31-0-182,us-east-1,,EC2,Unknown,8,1,0,0,0,
163,EC2 Log,2024-09-04 00:22:14,IAMUser,admin,ip-172-31-0-53,us-east-1,,EC2,Unknown,0,1,0,0,0,
164,EC2 Log,2024-08-29 16:39:41,IAMUser,dev-user,ip-172-31-0-205,us-east-1,,EC2,Unknown,16,0,0,0,0,
165,EC2 Log,2024-09-10 19:32:22,IAMUser,test-user,ip-172-31-0-34,us-east-1,,EC2,Unknown,19,1,0,0,0,
166,EC2 Log,2024-09-06 16:49:49,IAMUser,test-user,ip-172-31-0-38,us-east-1,,EC2,Unknown,16,0,0,0,0,
167,EC2 Log,2024-09-10 06:44:00,IAMUser,test-user,ip-172-31-0-24,us-east-1,,EC2,Unknown,6,1,0,0,0,
168,EC2 Log,2024-09-03 03:23:45,IAMUser,admin,ip-172-31-0-235,us-east-1,,EC2,Unknown,3,1,0,0,0,
169,EC2 Log,2024-09-06 20:48:40,IAMUser,admin,ip-172-31-0-182,us-east-1,,EC2,Unknown,20,1,0,0,0,
170,EC2 Log,2024-09-08 00:03:53,IAMUser,test-user,ip-172-31-0-85,us-east-1,,EC2,SecurityPatch,0,1,0,0,0,
171,EC2 Log,2024-09-01 01:58:14,IAMUser,admin,ip-172-31-0-42,us-east-1,,EC2,Unknown,1,1,0,0,0,
172,EC2 Log,2024-09-09 21:07:31,IAMUser,admin,ip-172-31-0-43,us-east-1,,EC2,Unknown,21,1,0,0,0,
173,EC2 Log,2024-09-10 08:39:00,IAMUser,dev-user,ip-172-31-0-169,us-east-1,,EC2,SecurityPatch,8,1,0,0,0,
174,EC2 Log,2024-09-01 17:08:44,IAMUser,admin,ip-172-31-0-191,us-east-1,,EC2,TerminateInstance,17,0,0,0,0,
175,EC2 Log,2024-09-10 13:57:53,IAMUser,admin,ip-172-31-0-64,us-east-1,,EC2,Unknown,13,0,0,0,0,
176,EC2 Log,2024-09-06 20:22:08,IAMUser,test-user,ip-172-31-0-11,us-east-1,,EC2,Unknown,20,1,0,0,0,
177,EC2 Log,2024-08-30 16:30:04,IAMUser,test-user,ip-172-31-0-199,us-east-1,,EC2,Unknown,16,0,0,0,0,
178,EC2 Log,2024-09-05 20:11:52,IAMUser,test-user,ip-172-31-0-250,us-east-1,,EC2,SecurityPatch,20,1,0,0,0,
179,EC2 Log,2024-09-07 13:26:40,IAMUser,test-user,ip-172-31-0-255,us-east-1,,EC2,TerminateInstance,13,0,0,0,0,
180,EC2 Log,2024-09-05 19:09:04,IAMUser,admin,ip-172-31-0-71,us-east-1,,EC2,SecurityPatch,19,1,0,0,0,
181,EC2 Log,2024-08-30 18:40:03,IAMUser,admin,ip-172-31-0-247,us-east-1,,EC2,SecurityPatch,18,1,0,0,0,
182,EC2 Log,2024-09-03 02:19:35,IAMUser,test-user,ip-172-31-0-233,us-east-1,,EC2,Unknown,2,1,0,0,0,
183,EC2 Log,2024-09-05 06:19:07,IAMUser,dev-user,ip-172-31-0-73,us-east-1,,EC2,CPU Warning,6,1,0,0,0,
184,EC2 Log,2024-09-01 03:55:08,IAMUser,test-user,ip-172-31-0-247,us-east-1,,EC2,TerminateInstance,3,1,0,0,0,
185,EC2 Log,2024-09-10 17:09:42,IAMUser,test-user,ip-172-31-0-60,us-east-1,,EC2,SecurityPatch,17,0,0,0,0,
186,EC2 Log,2024-09-10 03:05:19,IAMUser,admin,ip-172-31-0-139,us-east-1,,EC2,Unknown,3,1,0,0,0,
187,EC2 Log,2024-09-01 09:16:31,IAMUser,dev-user,ip-172-31-0-40,us-east-1,,EC2,Unknown,9,0,0,0,0,
188,EC2 Log,2024-09-11 15:19:27,IAMUser,admin,ip-172-31-0-73,us-east-1,,EC2,Unknown,15,0,0,0,0,
189,EC2 Log,2024-09-10 23:10:59,IAMUser,admin,ip-172-31-0-154,us-east-1,,EC2,Unknown,23,1,0,0,0,
190,EC2 Log,2024-09-07 05:15:42,IAMUser,admin,ip-172-31-0-153,us-east-1,,EC2,Unknown,5,1,0,0,0,
191,EC2 Log,2024-09-06 00:32:59,IAMUser,dev-user,ip-172-31-0-205,us-east-1,,EC2,Unknown,0,1,0,0,0,
192,EC2 Log,2024-09-09 11:33:31,IAMUser,admin,ip-172-31-0-210,us-east-1,,EC2,Unknown,11,0,0,0,0,
193,EC2 Log,2024-09-08 10:43:18,IAMUser,test-user,ip-172-31-0-1,us-east-1,,EC2,TerminateInstance,10,0,0,0,0,
194,EC2 Log,2024-09-11 01:47:53,IAMUser,test-user,ip-172-31-0-248,us-east-1,,EC2,Unknown,1,1,0,0,0,
